GA,Copy,Script,ExtLink,Label
TRUE,FALSE,61,0,Legitimate
TRUE,FALSE,70,14.54545455,Legitimate
TRUE,FALSE,39,0,Legitimate
FALSE,FALSE,12,26.31578947,Legitimate
TRUE,FALSE,108,12,Legitimate
TRUE,FALSE,80,50,Legitimate
FALSE,FALSE,15,63.15789474,Legitimate
TRUE,FALSE,115,4.564315353,Legitimate
TRUE,FALSE,23,28.57142857,Legitimate
FALSE,FALSE,4,0,Legitimate
